"[r IN relationships(path) | r.name + "": "" + type(r)]",total_dist
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: twowheeler,Sirikhola-Gurdum: twowheeler,Gurdum-Sandakphu: twowheeler]",37
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: twowheeler,Sirikhola-Gurdum: twowheeler,Gurdum-Sandakphu: twowheeler]",37
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Tumbling: trek,Tumbling-Gairibus: trek,Gairibus-BhikeBhanja: trek,BhikeBhanja-Sandakphu: trek]",44
"[Darjeeling-Rimbik: road,Rimbik-Tumbling: trek,Tumbling-Gairibus: trek,Gairibus-BhikeBhanja: trek,BhikeBhanja-Sandakphu: trek]",44
"[Darjeeling-Rimbik: trek,Rimbik-Tumbling: trek,Tumbling-Gairibus: trek,Gairibus-BhikeBhanja: trek,BhikeBhanja-Sandakphu: trek]",44
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Tumbling: trek,Tumbling-Gairibus: road,Gairibus-BhikeBhanja: trek,BhikeBhanja-Sandakphu: trek]",44
"[Darjeeling-Rimbik: road,Rimbik-Tumbling: trek,Tumbling-Gairibus: road,Gairibus-BhikeBhanja: trek,BhikeBhanja-Sandakphu: trek]",44
"[Darjeeling-Rimbik: trek,Rimbik-Tumbling: trek,Tumbling-Gairibus: road,Gairibus-BhikeBhanja: trek,BhikeBhanja-Sandakphu: trek]",44
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Tumbling: trek,Tumbling-Gairibus: twowheeler,Gairibus-BhikeBhanja: trek,BhikeBhanja-Sandakphu: trek]",44
"[Darjeeling-Rimbik: road,Rimbik-Tumbling: trek,Tumbling-Gairibus: twowheeler,Gairibus-BhikeBhanja: trek,BhikeBhanja-Sandakphu: trek]",44
"[Darjeeling-Rimbik: trek,Rimbik-Tumbling: trek,Tumbling-Gairibus: twowheeler,Gairibus-BhikeBhanja: trek,BhikeBhanja-Sandakphu: trek]",44
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Tumbling: trek,Tumbling-Gairibus: trek,Gairibus-BhikeBhanja: road,BhikeBhanja-Sandakphu: trek]",44
